[32mINFO    [0m pytest_operator.plugin:plugin.py:675 Connecting to existing model localhost-localhost:test on unspecified cloud
[32mINFO    [0m juju.model:model.py:2069 Deploying local:jammy/mysql-0
[32mINFO    [0m juju.model:model.py:2759 Waiting for model:
  mysql/0 [allocating] waiting: waiting for machine
  mysql/1 [allocating] waiting: waiting for machine
  mysql/2 [allocating] waiting: waiting for machine
[32mINFO    [0m juju.model:model.py:2759 Waiting for model:
  mysql/0 [allocating] waiting: waiting for machine
  mysql/1 [allocating] waiting: waiting for machine
  mysql/2 [allocating] waiting: waiting for machine
[32mINFO    [0m juju.model:model.py:2759 Waiting for model:
  mysql/0 [allocating] waiting: waiting for machine
  mysql/1 [allocating] waiting: waiting for machine
  mysql/2 [allocating] waiting: waiting for machine
[32mINFO    [0m juju.model:model.py:2759 Waiting for model:
  mysql/0 [allocating] waiting: waiting for machine
  mysql/1 [allocating] waiting: waiting for machine
  mysql/2 [allocating] waiting: waiting for machine
[32mINFO    [0m juju.model:model.py:2759 Waiting for model:
  mysql/0 [allocating] waiting: waiting for machine
  mysql/1 [allocating] waiting: waiting for machine
  mysql/2 [allocating] waiting: waiting for machine
[32mINFO    [0m juju.model:model.py:2759 Waiting for model:
  mysql/0 [allocating] waiting: waiting for machine
  mysql/1 [allocating] waiting: waiting for machine
  mysql/2 [allocating] waiting: waiting for machine
[32mINFO    [0m pytest_operator.plugin:plugin.py:790 Model status:

Model  Controller           Cloud/Region         Version  SLA          Timestamp
test   localhost-localhost  localhost/localhost  3.1.7    unsupported  01:42:17Z

App    Version  Status   Scale  Charm  Channel  Rev  Exposed  Message
mysql           waiting    0/3  mysql             0  no       waiting for machine

Unit     Workload  Agent       Machine  Public address  Ports  Message
mysql/0  waiting   allocating  0                               waiting for machine
mysql/1  waiting   allocating  1                               waiting for machine
mysql/2  waiting   allocating  2                               waiting for machine

Machine  State    Address  Inst id        Base          AZ  Message
0        pending           juju-5122fa-0  ubuntu@22.04      Running
1        pending           juju-5122fa-1  ubuntu@22.04      Running
2        pending           juju-5122fa-2  ubuntu@22.04      Running

[32mINFO    [0m pytest_operator.plugin:plugin.py:796 Juju error logs:


[32mINFO    [0m pytest_operator.plugin:plugin.py:862 Forgetting main...
